Tract ID,life expectancy
48085030100,76.7
48085030202,78.8
48085030203,78.2
48085030301,77
48085030302,82
48085030303,78.8
48085030304,78.7
48085030305,81.1
48085030403,79.6
48085030404,80.8
48085030405,80.3
48085030408,83.4
48085030509,80.5
48085030513,80.8
48085030514,83.3
48085030515,84.6
48085030516,80.7
48085030522,80
48085030523,83.6
48085030524,78.6
48085030525,80
48085030526,80.7
48085030527,82.4
48085030528,80.7
48085030529,81.9
48085030530,84
48085030531,80.7
48085030601,85.6
48085030701,74.2
48085030702,79
48085030801,77.7
48085030802,76.2
48085030900,76.6
48085031001,77.7
48085031003,76.5
48085031004,76
48085031100,76.3
48085031201,76.3
48085031308,79.4
48085031309,79.7
48085031310,78.2
48085031311,80.4
48085031312,80.8
48085031313,83.2
48085031315,80.1
48085031316,83.9
48085031317,81.1
48085031406,83
48085031407,82.3
48085031409,81.9
48085031410,80.1
48085031411,80.8
48085031504,80.9
48085031505,81.2
48085031506,77.4
48085031507,85.4
48085031508,76.7
48085031611,81.1
48085031612,80.2
48085031613,79
48085031621,83.5
48085031622,79.5
48085031623,80
48085031624,83.9
48085031625,82.9
48085031626,78.8
48085031627,81.4
48085031628,78.2
48085031629,78
48085031630,80.9
48085031631,78
48085031632,85.3
48085031634,79.2
48085031635,82.6
48085031636,82.8
48085031637,81.4
48085031638,80.7
48085031639,84.2
48085031640,83.4
48085031642,80.9
48085031643,79.6
48085031645,80.5
48085031646,82.9
48085031647,80
48085031649,80.6
48085031652,84.2
48085031653,84.4
48085031654,82.2
48085031655,80.2
48085031660,80.9
48085031663,80.9
48085031664,80.5
48085031704,79.6
48085031706,78.1
48085031708,78
48085031709,82.2
48085031711,80.9
48085031712,78.8
48085031715,77.3
48085031716,81.5
48085031718,83
48085031719,79.7
48085031802,81.6
48085031804,82.3
48085031805,83.2
48085031806,80.7
48085031807,81.8
48085031900,79.8
48085032003,82.5
48085032004,80
48085032008,78.2
48085032009,82.7
48085032010,79.7
48085032011,84.1
48085032012,80.1
48085032013,78.7
48113000100,83.3
48113000201,82.1
48113000202,81.2
48113000300,82.7
48113000401,77.6
48113000404,79.4
48113000406,80.3
48113000500,78.5
48113000601,77.2
48113000603,78.7
48113000606,81.7
48113000701,81.1
48113000702,77.7
48113000800,79.3
48113000900,79.4
48113001001,76.9
48113001002,80.6
48113001101,81.2
48113001102,81.1
48113001203,79.8
48113001204,80.2
48113001301,77.9
48113001302,77.6
48113001400,77.6
48113001503,72.4
48113001600,78.8
48113001900,80.9
48113002000,75.9
48113002200,76.8
48113002400,78.4
48113002500,74.9
48113002701,72.5
48113002702,72.5
48113003400,68.7
48113003700,65.5
48113003800,68.3
48113003901,71.8
48113003902,68.5
48113004000,67.5
48113004100,64.2
48113004201,75.9
48113004202,77.7
48113004300,73
48113004400,78.1
48113004500,79.1
48113004700,79.9
48113004800,75
48113004900,69.9
48113005000,75.3
48113005100,75.2
48113005200,78.2
48113005300,75.7
48113005400,72.8
48113005500,73.5
48113005600,77.4
48113005700,71.4
48113005901,72
48113005902,72.8
48113006001,76.3
48113006002,74.2
48113006100,75.5
48113006200,75.1
48113006301,77.4
48113006302,75.8
48113006401,79.9
48113006402,79.4
48113006501,81.4
48113006502,79.5
48113006700,80.4
48113006800,73.7
48113006900,74.6
48113007101,77.3
48113007102,75.4
48113007201,75.7
48113007301,81.8
48113007302,83.2
48113007601,81.6
48113007604,80.9
48113007605,84.6
48113007700,82.8
48113007801,80.8
48113007804,72.2
48113007809,80.4
48113007810,77.4
48113007811,73.3
48113007812,83.5
48113007818,79.7
48113007822,78.7
48113007823,68.9
48113007824,81.6
48113007825,77.7
48113007902,80.9
48113007903,83
48113007909,80.5
48113007912,80.9
48113007913,80.7
48113008000,83.8
48113008100,77.5
48113008200,79.2
48113008400,77.4
48113008500,74.4
48113008603,70.7
48113008604,72.9
48113008701,67.7
48113008703,69.9
48113008704,68.3
48113008705,72.5
48113008801,70.6
48113008802,71.1
48113008900,74.4
48113009000,73.7
48113009101,75.3
48113009103,79.1
48113009104,74.7
48113009105,76.8
48113009201,74.2
48113009202,76.4
48113009301,78.2
48113009303,77
48113009304,74
48113009401,79.5
48113009402,80.6
48113009500,81.2
48113009603,84.5
48113009604,81.1
48113009605,77.9
48113009607,80.3
48113009608,81.4
48113009609,84.4
48113009611,78.9
48113009701,80
48113009702,82.5
48113009802,81.3
48113009803,77.7
48113009900,73.8
48113010101,70.4
48113010102,75
48113010500,77.7
48113010601,77.3
48113010602,75.1
48113010701,77.4
48113010703,75.9
48113010704,75.7
48113010801,80.1
48113010803,77.6
48113010804,76
48113010805,80.2
48113010902,73.8
48113010903,74.4
48113011001,76.4
48113011002,74
48113011101,74.6
48113011103,74.7
48113011104,71.8
48113011105,74.7
48113011200,75.1
48113011300,69.2
48113011401,69.7
48113011500,72.2
48113011601,74.5
48113011602,75.4
48113011701,76
48113011702,73.6
48113011800,75.9
48113011900,75.6
48113012000,71.3
48113012100,78.4
48113012204,76.3
48113012206,74.3
48113012207,79
48113012208,75.5
48113012209,79.5
48113012210,72.9
48113012211,77
48113012301,76
48113012302,78
48113012400,78.3
48113012500,78.7
48113012601,78.8
48113012603,77.3
48113012604,80.3
48113012701,78
48113012702,74.8
48113012800,78.5
48113012900,80.7
48113013004,80.4
48113013005,79.5
48113013007,76.5
48113013008,81
48113013009,79.9
48113013010,74.7
48113013101,80.5
48113013102,80.7
48113013104,81
48113013105,77.8
48113013200,83.6
48113013300,80.3
48113013400,86.1
48113013500,81
48113013605,82.9
48113013606,78.8
48113013607,79.7
48113013608,78.9
48113013609,81.8
48113013610,82.1
48113013611,80.6
48113013615,75.9
48113013616,81.7
48113013617,79.8
48113013619,84.1
48113013620,83.6
48113013621,77.6
48113013622,79.6
48113013623,77
48113013624,80
48113013711,80.5
48113013712,80
48113013713,71.5
48113013714,81.3
48113013715,77.1
48113013716,78.1
48113013717,79.6
48113013718,75.7
48113013719,78.2
48113013720,77.1
48113013721,78
48113013722,76.3
48113013725,81.1
48113013726,81.4
48113013727,82.4
48113013803,84.4
48113013804,78.3
48113013805,77.6
48113013901,77.9
48113013902,79.1
48113014001,79.3
48113014114,75.9
48113014119,81.2
48113014120,83.9
48113014121,82.2
48113014123,79.8
48113014124,81.5
48113014126,80.1
48113014127,81.9
48113014128,80.9
48113014129,80.7
48113014130,80.7
48113014134,82.7
48113014135,79.3
48113014138,80.7
48113014203,79.1
48113014204,77.5
48113014205,79.5
48113014302,78.2
48113014306,81.3
48113014307,80.6
48113014309,75.9
48113014310,77
48113014312,80.1
48113014405,79.5
48113014406,81
48113014407,75.9
48113014408,77.6
48113014501,82.1
48113014502,75.3
48113014601,74
48113014602,78.6
48113014603,70.7
48113014701,79.5
48113014702,79.3
48113014703,77.3
48113014902,75.4
48113015000,77.7
48113015100,76.2
48113015202,77.1
48113015204,76.4
48113015205,75.4
48113015206,76.4
48113015303,75.2
48113015304,76
48113015305,77.8
48113015306,79.2
48113015401,78.9
48113015403,76.6
48113015404,78.6
48113015500,74.4
48113015600,76.9
48113015700,78.2
48113015800,76.6
48113015900,74.5
48113016001,76.4
48113016002,76.8
48113016100,77.3
48113016201,77.6
48113016202,79.3
48113016301,79.2
48113016302,78.9
48113016401,78.9
48113016406,79.5
48113016407,75.3
48113016408,75.5
48113016409,80.2
48113016410,79.9
48113016411,79
48113016412,75.7
48113016413,82.5
48113016502,77.6
48113016509,82.5
48113016510,78.4
48113016511,77.4
48113016513,77.4
48113016514,79.9
48113016516,78.2
48113016517,79.7
48113016518,76.7
48113016519,82.5
48113016520,75.5
48113016521,77.2
48113016522,78.1
48113016523,78.3
48113016605,77.7
48113016606,77.6
48113016610,76.5
48113016611,75.2
48113016612,76.1
48113016615,74.5
48113016616,76.6
48113016617,77.4
48113016618,80.9
48113016619,75.9
48113016620,77.5
48113016621,75.6
48113016622,78.6
48113016624,77.8
48113016625,78.1
48113016626,77.1
48113016701,68.9
48113016703,76.5
48113016704,74.5
48113016705,75.5
48113016802,76.5
48113016803,77.1
48113016804,77.2
48113016902,77.2
48113016903,73.3
48113017001,76.7
48113017003,75.2
48113017101,72.9
48113017102,77.2
48113017201,71.2
48113017202,73.2
48113017301,75.9
48113017303,74.5
48113017304,81
48113017305,79
48113017306,80.5
48113017400,73.4
48113017500,76.1
48113017602,73.2
48113017605,74.7
48113017606,77.1
48113017702,77.3
48113017703,75.6
48113017704,75.6
48113017804,78.1
48113017805,77.7
48113017806,76.6
48113017807,77.9
48113017808,80.6
48113017811,79.1
48113017812,75.5
48113017814,82
48113017900,79.3
48113018001,79
48113018002,77.7
48113018104,79.9
48113018105,76.3
48113018110,81.6
48113018111,78.6
48113018118,83.6
48113018120,77.9
48113018121,76.5
48113018122,78.2
48113018123,83.7
48113018124,82.8
48113018126,75.5
48113018127,78.1
48113018128,77.1
48113018129,78.1
48113018130,79
48113018132,77.7
48113018133,78.6
48113018134,76.7
48113018136,81.2
48113018137,79.8
48113018138,76.7
48113018139,78.4
48113018140,81.2
48113018141,71.2
48113018142,75.9
48113018203,74.7
48113018204,75.4
48113018205,81.6
48113018206,75.8
48113018300,79.3
48113018401,79.4
48113018402,77.1
48113018501,77.9
48113018505,74.7
48113018600,75.7
48113018700,76.3
48113018801,77.1
48113018802,76.6
48113018900,77.4
48113019004,82
48113019013,74.7
48113019014,79.2
48113019016,77
48113019018,80.2
48113019019,78
48113019020,79.8
48113019021,79.9
48113019023,79.8
48113019024,80
48113019025,80.7
48113019026,76.6
48113019027,78.5
48113019028,78.7
48113019029,79
48113019031,76.7
48113019032,76.8
48113019033,78.3
48113019034,78.7
48113019035,77.1
48113019036,80.9
48113019037,79
48113019039,82.8
48113019040,81
48113019041,79.2
48113019042,81.6
48113019043,80.9
48113019100,79.1
48113019202,82.6
48113019203,82.2
48113019204,82
48113019205,86.5
48113019206,83.3
48113019208,76.7
48113019210,85
48113019211,77.5
48113019213,79.9
48113019301,84.6
48113019302,82.7
48113019400,86.4
48113019501,78.7
48113019502,83
48113019600,84.7
48113019700,81.7
48113019800,82.4
48113019900,82.7
48113020100,78.6
48113020200,72.9
48113020300,65.9
48113020500,71.7
48113020600,85.1
48113020700,80.8
48121020103,79.9
48121020105,79.4
48121020106,79.7
48121020107,80.4
48121020108,80.4
48121020110,80.9
48121020111,80.7
48121020114,77.7
48121020115,81.3
48121020202,82.6
48121020203,74.8
48121020204,79.3
48121020205,79.8
48121020303,79.7
48121020305,83.2
48121020306,77
48121020307,80.4
48121020308,81
48121020309,79.4
48121020310,81.3
48121020401,76.1
48121020402,76.6
48121020503,82.1
48121020505,80.8
48121020506,75.3
48121020601,76.5
48121020602,77.7
48121021201,74.9
48121021202,77.2
48121021303,76.4
48121021304,78.8
48121021305,84.3
48121021403,76.7
48121021404,78.8
48121021406,78.7
48121021407,79.4
48121021408,79.2
48121021409,79.1
48121021502,76.4
48121021505,76.5
48121021513,77.7
48121021514,80.9
48121021515,82.6
48121021516,80.4
48121021517,79.9
48121021519,80.1
48121021520,75.1
48121021521,77.5
48121021523,78.7
48121021526,80.3
48121021527,80.7
48121021611,79.8
48121021612,80.3
48121021613,78.4
48121021614,82.4
48121021615,77.6
48121021618,77.1
48121021619,75.7
48121021621,82.1
48121021622,80.6
48121021623,80.1
48121021625,78.6
48121021627,89.5
48121021628,78.5
48121021629,80.9
48121021631,82
48121021632,78.3
48121021633,78.6
48121021636,80
48121021637,78.4
48121021715,79.4
48121021716,82.3
48121021717,80.2
48121021718,81.4
48121021719,80.2
48121021720,81.7
48121021721,81.4
48121021722,78.2
48121021724,78.9
48121021726,81.1
48121021727,83
48121021728,76.1
48121021729,78.7
48121021732,80
48121021737,85.9
48121021738,82.7
48121021741,80.2
48121021742,80.4
48121021743,79.9
48121021744,75.3
48121021745,80.7
48121021746,78.2
48121021747,81.7
48121021748,79.3
48121021750,77.7
48121021752,80.9
48121021753,80.6
48121021800,82.2
48121021900,77.8
48439100101,76.4
48439100102,79.5
48439100201,76
48439100202,76.9
48439100300,76.1
48439100400,79.8
48439100501,76.2
48439100502,76.7
48439100601,76.8
48439100602,79.1
48439100700,72.5
48439100800,80
48439100900,76.4
48439101201,72.6
48439101202,73.1
48439101301,76.7
48439101302,72.1
48439101401,76.1
48439101402,80.7
48439101403,74.4
48439101500,72.2
48439101700,77.6
48439102000,81.1
48439102100,78.7
48439102201,80.7
48439102202,79.9
48439102301,73.2
48439102302,72.4
48439102401,77.7
48439102402,82.4
48439102500,69.1
48439102601,74.8
48439102602,76.5
48439102700,77.9
48439102800,81
48439103500,72.9
48439103601,69.1
48439103602,73.4
48439103701,74.1
48439103702,70
48439103800,74.4
48439104100,74.8
48439104202,78.9
48439104300,83.6
48439104400,77.1
48439104502,74.4
48439104503,77.3
48439104504,70.5
48439104505,73.5
48439104601,73.3
48439104602,75.1
48439104603,73.7
48439104604,68.7
48439104605,71.3
48439104701,75.7
48439104702,74.6
48439104802,77.9
48439104803,75.7
48439104804,77.8
48439104900,75.1
48439105001,77
48439105007,79.7
48439105201,73.7
48439105203,75.5
48439105205,72.1
48439105403,81.8
48439105404,83.1
48439105405,79.1
48439105406,82
48439105502,78.7
48439105503,77.6
48439105505,78.4
48439105507,80.7
48439105508,78
48439105510,78.2
48439105511,82.6
48439105513,74.7
48439105600,80.2
48439105701,77.6
48439105703,78.5
48439105704,74.7
48439105800,77.5
48439105901,78.4
48439105902,75.6
48439106001,77.8
48439106002,73.6
48439106101,72.4
48439106102,72.7
48439106201,70.4
48439106202,68
48439106400,71.7
48439106502,81.9
48439106503,73.3
48439106507,77.1
48439106509,81.2
48439106510,79.8
48439106511,78.8
48439106512,78.8
48439106515,77
48439106517,76.8
48439106600,71.7
48439106700,76.8
48439110101,76.8
48439110102,78.1
48439110203,76.1
48439110204,76.9
48439110301,75.2
48439110302,74.2
48439110401,72.6
48439110402,75.4
48439110500,75.6
48439110600,77.5
48439110701,74.4
48439110703,77.7
48439110704,71.6
48439110805,79.4
48439110807,77.7
48439110808,81.4
48439110809,81
48439110901,78.5
48439110903,80.3
48439110905,82.6
48439110906,76.5
48439110907,78.1
48439111003,77.8
48439111005,75.9
48439111008,77.2
48439111010,84.7
48439111011,75.7
48439111013,76.6
48439111015,73.5
48439111016,78.8
48439111017,79.1
48439111018,77.8
48439111102,78.6
48439111103,74.4
48439111104,72.9
48439111202,76.6
48439111203,79.4
48439111301,77.7
48439111304,79.2
48439111306,77
48439111307,76.7
48439111308,76.7
48439111309,75.6
48439111310,76
48439111311,80.5
48439111312,81.1
48439111313,80.4
48439111314,80.4
48439111402,80.3
48439111404,76.9
48439111405,73.8
48439111407,81.8
48439111408,74.7
48439111409,80.7
48439111505,77.9
48439111506,80.2
48439111513,80.8
48439111514,75.5
48439111516,78.9
48439111521,77.4
48439111522,76.2
48439111523,75.6
48439111524,77.1
48439111525,75.7
48439111526,76.2
48439111529,79.8
48439111530,79.3
48439111531,80.6
